epoch,train_loss,train_oa,val_loss,val_oa,val_macc,lr,epoch_time_s
1,3.346462,0.210467,2.961128,0.283630,0.178244,0.00099994,94.5
2,2.821348,0.363008,2.700415,0.379660,0.267767,0.00099976,86.4
3,2.573602,0.451829,2.633395,0.397083,0.293500,0.00099945,86.3
4,2.408633,0.523171,2.476185,0.465559,0.361837,0.00099902,85.3
5,2.315202,0.552439,2.377485,0.517018,0.426052,0.00099847,85.4
6,2.268906,0.574695,2.285976,0.549433,0.449244,0.00099780,85.8
7,2.233966,0.587805,2.319670,0.521475,0.448262,0.00099701,85.7
8,2.220495,0.596545,2.447069,0.482577,0.391872,0.00099610,85.9
9,2.230429,0.593191,2.511526,0.457455,0.387872,0.00099506,85.6
10,2.200299,0.606606,2.363713,0.540113,0.457099,0.00099391,85.8
11,2.184734,0.613008,2.440411,0.543760,0.478064,0.00099263,85.6
12,2.207845,0.601321,2.496434,0.524311,0.426727,0.00099123,85.9
13,2.185377,0.610061,2.426697,0.571313,0.451285,0.00098972,85.4
14,2.213652,0.594817,2.625104,0.465964,0.373727,0.00098808,86.2
15,2.247030,0.586687,2.776346,0.421394,0.357965,0.00098632,86.0
16,2.225960,0.591057,2.893837,0.357780,0.316221,0.00098445,86.0
17,2.162096,0.615955,2.434272,0.551053,0.480640,0.00098246,85.8
18,2.145593,0.629573,2.777979,0.434360,0.368820,0.00098035,85.8
19,2.148291,0.629980,2.247420,0.595624,0.503994,0.00097812,86.0
20,2.124374,0.636179,2.258604,0.582253,0.489308,0.00097577,86.0
21,2.121510,0.637805,2.203168,0.614263,0.530035,0.00097331,85.9
22,2.138472,0.628252,2.216102,0.631686,0.533913,0.00097074,86.1
23,2.110358,0.641260,2.076598,0.638574,0.547669,0.00096804,88.9
24,2.107579,0.645020,2.162076,0.625608,0.522512,0.00096524,88.9
25,2.100285,0.650203,2.322571,0.562804,0.477558,0.00096232,88.4
26,2.090103,0.649085,2.262876,0.597245,0.514029,0.00095929,87.7
27,2.091441,0.647154,2.422509,0.523501,0.458547,0.00095614,85.6
28,2.091057,0.652337,2.162439,0.617504,0.520581,0.00095289,85.6
29,2.100200,0.649593,2.245391,0.588331,0.456453,0.00094952,87.4
30,2.106714,0.644411,2.284015,0.616288,0.529605,0.00094605,86.4
31,2.063999,0.665041,2.150490,0.648298,0.570186,0.00094246,86.3
32,2.056711,0.667073,2.049456,0.682739,0.580076,0.00093877,87.6
33,2.066371,0.666057,2.089640,0.660454,0.565953,0.00093497,87.4
34,2.076339,0.653963,2.123406,0.633712,0.536174,0.00093107,86.0
35,2.058626,0.666870,2.032558,0.671394,0.577326,0.00092706,85.4
36,2.043719,0.671138,2.041190,0.650729,0.548256,0.00092294,85.8
37,2.039390,0.671443,2.073294,0.673825,0.580273,0.00091872,85.6
38,2.020303,0.676626,2.046917,0.666532,0.573430,0.00091440,86.0
39,2.023351,0.674492,2.137554,0.622771,0.552308,0.00090998,85.9
40,2.018678,0.672866,1.986786,0.693679,0.601209,0.00090546,85.6
41,2.019014,0.680793,2.003009,0.676661,0.595523,0.00090084,85.9
42,2.006529,0.685976,2.041770,0.679903,0.593244,0.00089613,86.0
43,2.005946,0.684350,1.958307,0.688817,0.594901,0.00089131,86.0
44,1.980822,0.695732,2.013084,0.692464,0.623424,0.00088640,85.8
45,1.993021,0.690244,2.033456,0.670178,0.573070,0.00088140,86.0
46,1.984106,0.700407,1.984172,0.670583,0.573471,0.00087630,85.9
47,1.979067,0.698476,1.924909,0.711102,0.621459,0.00087112,85.8
48,1.974422,0.697459,1.927277,0.704619,0.614826,0.00086584,85.6
49,1.973606,0.701423,1.995214,0.683955,0.601872,0.00086047,86.1
50,1.977807,0.698577,1.912857,0.728120,0.649198,0.00085502,85.7
51,1.976448,0.696037,1.922024,0.709481,0.631640,0.00084948,87.6
52,1.966109,0.702134,1.925452,0.720827,0.640035,0.00084385,87.1
53,1.977678,0.698374,1.880210,0.738655,0.647645,0.00083814,87.8
54,1.969038,0.701931,1.882328,0.723258,0.640424,0.00083235,87.7
55,1.965442,0.705183,1.906663,0.719206,0.624157,0.00082648,87.1
56,1.961163,0.704065,1.964006,0.696515,0.606244,0.00082052,87.8
57,1.959626,0.707825,1.953536,0.700567,0.608076,0.00081450,86.4
58,1.970815,0.698069,1.908633,0.715559,0.622547,0.00080839,86.5
59,1.964740,0.701423,1.962095,0.696515,0.597983,0.00080221,85.6
60,1.961548,0.705996,1.933694,0.707861,0.616645,0.00079595,86.1
61,1.960303,0.706606,1.959483,0.698541,0.604837,0.00078963,86.4
62,1.964616,0.704370,1.926569,0.707861,0.624302,0.00078323,86.9
63,1.952868,0.707012,1.898357,0.726904,0.643494,0.00077677,86.1
64,1.959556,0.708435,1.974059,0.695300,0.614988,0.00077023,86.7
65,1.959740,0.708232,1.915325,0.703809,0.613634,0.00076364,85.9
66,1.951247,0.710163,1.920037,0.711102,0.619564,0.00075698,87.1
67,1.948796,0.713415,1.856371,0.730551,0.627593,0.00075025,87.0
68,1.939374,0.716870,1.848561,0.749190,0.663587,0.00074347,86.5
69,1.956686,0.709553,1.835564,0.753647,0.646715,0.00073663,84.9
70,1.953035,0.709451,1.915341,0.711912,0.615157,0.00072973,85.3
71,1.951010,0.711179,1.889982,0.711912,0.615093,0.00072277,85.8
72,1.948922,0.712500,1.920640,0.708266,0.610267,0.00071576,85.2
73,1.939412,0.712195,1.880624,0.736224,0.646849,0.00070870,87.0
74,1.936291,0.712297,1.854759,0.740681,0.637599,0.00070159,86.9
75,1.949306,0.705691,1.885259,0.724473,0.636680,0.00069443,87.0
76,1.937586,0.715854,1.860897,0.744733,0.655599,0.00068722,87.0
77,1.943891,0.708740,1.874873,0.737034,0.664488,0.00067997,86.2
78,1.941527,0.711179,1.875551,0.741086,0.638715,0.00067268,85.0
79,1.938941,0.715752,1.855208,0.744327,0.644105,0.00066534,85.4
80,1.939395,0.716972,1.859729,0.750810,0.642988,0.00065796,88.5
81,1.932153,0.715549,1.886693,0.720016,0.623634,0.00065055,88.8
82,1.944424,0.715346,1.844486,0.743922,0.658506,0.00064310,87.2
83,1.927153,0.718699,1.839500,0.753241,0.659372,0.00063562,87.7
84,1.940702,0.711890,1.956357,0.685170,0.596308,0.00062810,85.8
85,1.937316,0.714329,1.843822,0.758914,0.661605,0.00062056,87.6
86,1.935267,0.718496,1.893538,0.709481,0.610541,0.00061298,87.4
87,1.925030,0.721138,1.835025,0.742707,0.659076,0.00060538,86.8
88,1.914927,0.726931,1.841081,0.740276,0.627785,0.00059775,86.9
89,1.932949,0.717073,1.894534,0.735413,0.621953,0.00059010,85.0
90,1.929932,0.716972,1.869313,0.737034,0.632064,0.00058244,85.8
91,1.921296,0.720427,1.888434,0.720421,0.624953,0.00057475,87.9
92,1.927803,0.718089,1.845686,0.740276,0.646959,0.00056704,87.6
93,1.926021,0.713720,1.895346,0.717585,0.605000,0.00055932,88.8
94,1.919085,0.716159,1.873031,0.724878,0.630971,0.00055158,86.2
95,1.912123,0.727033,1.815996,0.758509,0.661547,0.00054384,86.4
96,1.930600,0.719614,1.844085,0.747164,0.661285,0.00053608,85.7
97,1.921123,0.718902,1.828215,0.748379,0.653785,0.00052832,87.5
98,1.908279,0.729980,1.868990,0.728930,0.653285,0.00052055,88.8
99,1.915503,0.724085,1.830706,0.747164,0.662843,0.00051278,88.7
100,1.908549,0.730386,1.869733,0.728120,0.633081,0.00050500,85.9
101,1.910346,0.722866,1.840699,0.748784,0.662017,0.00049722,84.8
102,1.905960,0.730589,1.798882,0.769044,0.676366,0.00048945,84.7
103,1.906451,0.728252,1.876335,0.723663,0.644977,0.00048168,84.9
104,1.909673,0.729167,1.865373,0.733387,0.646959,0.00047392,84.5
105,1.905694,0.729675,1.827540,0.756078,0.657035,0.00046616,84.7
106,1.896761,0.734350,1.849190,0.735008,0.643831,0.00045842,84.5
107,1.886831,0.737500,1.818369,0.760130,0.672355,0.00045068,84.3
108,1.890206,0.736992,1.833843,0.744327,0.652041,0.00044296,84.8
109,1.891328,0.737805,1.846895,0.734603,0.647256,0.00043525,85.3
110,1.891897,0.731402,1.859596,0.735008,0.641343,0.00042756,85.4
111,1.878547,0.739024,1.838906,0.734198,0.648936,0.00041990,85.1
112,1.879768,0.734959,1.815055,0.759319,0.660192,0.00041225,85.5
113,1.886309,0.733537,1.832692,0.737844,0.647297,0.00040462,85.1
114,1.882510,0.739939,1.792598,0.769854,0.670605,0.00039702,85.0
115,1.884638,0.735569,1.807671,0.753647,0.666541,0.00038944,85.7
116,1.879189,0.744512,1.812690,0.757293,0.658547,0.00038190,85.4
117,1.888353,0.737297,1.806250,0.760535,0.663285,0.00037438,85.0
118,1.874006,0.743598,1.794475,0.765802,0.663157,0.00036690,85.2
119,1.865503,0.745122,1.806222,0.763776,0.663860,0.00035945,84.9
120,1.874445,0.737398,1.796543,0.765802,0.659372,0.00035204,85.1
121,1.866494,0.743598,1.793727,0.765397,0.660820,0.00034466,84.9
122,1.863112,0.742480,1.805986,0.758104,0.658663,0.00033732,85.6
123,1.870366,0.742480,1.786265,0.765397,0.672663,0.00033003,85.0
124,1.872618,0.739126,1.801709,0.762156,0.672331,0.00032278,85.2
125,1.869292,0.741972,1.818805,0.760535,0.665605,0.00031557,85.5
126,1.864252,0.744512,1.793657,0.762156,0.677407,0.00030841,86.5
127,1.860409,0.745224,1.790551,0.767828,0.670959,0.00030130,88.7
128,1.866316,0.739939,1.779887,0.772690,0.663151,0.00029424,87.6
129,1.862802,0.748476,1.791708,0.765802,0.669948,0.00028723,87.6
130,1.861130,0.747866,1.800377,0.767828,0.685570,0.00028027,87.3
131,1.858970,0.748171,1.784191,0.771475,0.690163,0.00027337,87.1
132,1.853069,0.750813,1.769746,0.782820,0.676930,0.00026653,87.4
133,1.846957,0.752337,1.776523,0.769854,0.684116,0.00025975,88.2
134,1.859757,0.749797,1.790510,0.771475,0.679366,0.00025302,87.4
135,1.849597,0.752642,1.792868,0.770665,0.677703,0.00024636,85.7
136,1.842922,0.756911,1.763317,0.788088,0.686483,0.00023977,85.1
137,1.848465,0.754065,1.754416,0.784441,0.693436,0.00023323,86.0
138,1.845343,0.753049,1.769619,0.783225,0.688494,0.00022677,87.2
139,1.840348,0.750915,1.764163,0.782820,0.693581,0.00022037,88.4
140,1.847911,0.753862,1.786211,0.776742,0.682337,0.00021405,87.2
141,1.841904,0.754472,1.789384,0.772690,0.689994,0.00020779,86.5
142,1.833960,0.756504,1.775786,0.773096,0.688983,0.00020161,86.7
143,1.834996,0.762093,1.763508,0.783225,0.691453,0.00019550,87.5
144,1.833675,0.759756,1.745910,0.784036,0.691203,0.00018948,88.7
145,1.834365,0.758943,1.752065,0.786062,0.703029,0.00018352,88.8
146,1.834928,0.759146,1.742046,0.786467,0.696366,0.00017765,87.5
147,1.825725,0.760671,1.754529,0.790519,0.701151,0.00017186,87.1
148,1.826549,0.758333,1.755581,0.783225,0.690663,0.00016615,87.3
149,1.827282,0.764736,1.757816,0.780389,0.693651,0.00016052,87.6
150,1.822095,0.762398,1.758009,0.780389,0.693110,0.00015498,87.1
151,1.830812,0.756504,1.774168,0.774311,0.688029,0.00014953,87.1
152,1.830908,0.761484,1.757669,0.778768,0.690826,0.00014416,89.4
153,1.808543,0.769106,1.735276,0.794165,0.704360,0.00013888,86.9
154,1.812732,0.771138,1.742851,0.787277,0.695238,0.00013370,87.5
155,1.815024,0.767886,1.769022,0.779173,0.694297,0.00012860,87.8
156,1.817696,0.764329,1.764183,0.780389,0.694622,0.00012360,88.2
157,1.819774,0.763516,1.732465,0.793355,0.707105,0.00011869,86.5
158,1.814006,0.766768,1.742316,0.789708,0.697913,0.00011387,85.8
159,1.815046,0.767276,1.733851,0.787277,0.702773,0.00010916,85.7
160,1.809011,0.771443,1.750087,0.786062,0.700570,0.00010454,85.9
